职位id,关系,薪资
1495,,12-22K·15薪
1496,,30-45K·15薪
1497,,15-25K
1498,,15-30K·13薪
1499,,12-24K
1500,,15-25K·13薪
1501,,15-22K
1502,,15-23K
1503,,14-22K
1504,,11-22K
1505,,15-22K
1506,,15-25K
1507,,15-25K·13薪
1508,,15-25K
1509,,16-24K
1510,,15-30K·13薪
1511,,15-24K
1512,,18-22K
1513,,18-26K
1514,,11-22K
1515,,16-25K
1516,,11-22K
1517,,12-24K
1518,,12-24K
1519,,30-55K·15薪
1520,,25-40K
1521,,15-25K·13薪
1522,,15-28K·15薪
1523,,15-28K
1524,,14-21K·13薪
1525,,12-24K·13薪
1526,,15-25K·13薪
1527,,15-25K
1528,,15-30K
1529,,15-28K
1530,,15-30K·14薪
1531,,20-25K
1532,,15-25K
1533,,15-30K·13薪
1534,,12-24K·13薪
1535,,20-30K
1536,,15-25K
1537,,15-30K
1538,,25-28K
1539,,15-25K
1540,,20-30K
1541,,15-25K
1542,,12-21K
1543,,15-25K·13薪
1544,,15-25K·13薪
1545,,20-30K·13薪
1546,,15-25K
1547,,18-26K·13薪
1548,,15-30K
1549,,20-25K
1550,,15-30K
1551,,15-25K
1552,,12-22K·13薪
1553,,11-22K
1554,,15-30K·13薪
1555,,15-25K
1556,,13-26K
1557,,12-24K
1558,,15-25K
1559,,12-24K·13薪
1560,,15-30K·13薪
1561,,15-25K
1562,,20-25K
1563,,2-3K
1564,,2-4K
